"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 16 11:54:45 CST 2020","Wed Sep 16 11:55:06 CST 2020","20955","interface.workFlow_test","test_thingRepairFlow","TestThingRepairWorkFlow","","","test_3",""
"passed","Wed Sep 16 11:52:19 CST 2020","Wed Sep 16 11:52:22 CST 2020","3166","interface.thing_test","test_exportThings","TestQueryExportThings","","","test",""
"passed","Wed Sep 16 11:47:45 CST 2020","Wed Sep 16 11:47:45 CST 2020","428","interface.thingInspectionRule_test","test_updateThingInspectionRule","TestUpdateThingInspectionRule","","","test_2[variable0]",""
"passed","Wed Sep 16 17:01:29 CST 2020","Wed Sep 16 17:01:43 CST 2020","14056","interface.workFlow_test","test_thingMaintanenceFlow","TestThingMaintenanceWorkFlow","","","test_1",""
"passed","Wed Sep 16 11:45:58 CST 2020","Wed Sep 16 11:45:59 CST 2020","848","interface.employee_test","test_updateEmployee","TestUpdateEmployee","","","test_1[variable0]",""
"passed","Thu Sep 17 18:22:31 CST 2020","Thu Sep 17 18:22:33 CST 2020","2077","interface.sparePartReceipt_test","test_createSparePartReceipt","TestCreateSparePartReceipt","","","test_1[variable0]",""
"passed","Wed Sep 16 11:57:38 CST 2020","Wed Sep 16 11:57:50 CST 2020","12117","interface.workFlow_test","test_thingRepairFlow","TestThingRepairWorkFlow","","","test_9[audit_reject]",""
"passed","Wed Sep 16 11:57:24 CST 2020","Wed Sep 16 11:57:38 CST 2020","13695","interface.workFlow_test","test_thingRepairFlow","TestThingRepairWorkFlow","","","test_9[audit_pass]",""
"passed","Wed Sep 16 11:48:57 CST 2020","Wed Sep 16 11:48:57 CST 2020","206","interface.thingMaintenanceRule_test","test_updateThingMaintenanceRule","TestUpdateThingMaintenanceRule","","","test_2[variable0]",""
"failed","Wed Sep 16 11:45:52 CST 2020","Wed Sep 16 11:45:53 CST 2020","346","interface.Role_test","test_deleteRoles","TestDeleteRoles","","","test_1",""
"broken","Wed Sep 16 16:11:15 CST 2020","Wed Sep 16 16:11:15 CST 2020","23","interface.workFlow_test","test_thingInspectionFlow","TestThingInspectionWorkFlow","","","test_7[audit_feed_pass]",""
"failed","Wed Sep 16 11:46:22 CST 2020","Wed Sep 16 11:46:23 CST 2020","822","interface.sparePartOutBound_test","test_updateSparePartOutbound","TestUpdateSparePartOutbound","","","test_2[variable0]",""
"failed","Wed Sep 16 11:53:43 CST 2020","Wed Sep 16 11:53:48 CST 2020","5032","interface.workFlow_test","test_sparePartOutboundFlow","TestSparePartOutBoundWorkFlow","","","test_9[audit_reject]",""
"passed","Wed Sep 16 11:46:49 CST 2020","Wed Sep 16 11:46:52 CST 2020","3425","interface.sparePart_test","test_deleteSpareParts","TestDeleteSpareParts","","","test_1",""
"passed","Wed Sep 16 11:46:01 CST 2020","Wed Sep 16 11:46:01 CST 2020","4","interface.file_test","test_uploadFile","TestUploadFile","","","test_add_right[upload_file3]",""
"passed","Wed Sep 16 11:46:05 CST 2020","Wed Sep 16 11:46:05 CST 2020","2","interface.file_test","test_uploadFile","TestUploadFile","","","test_import_right[upload_file1]",""
"passed","Wed Sep 16 11:52:39 CST 2020","Wed Sep 16 11:52:43 CST 2020","3888","interface.thing_test","test_updateThing","TestUpdateThing","","","test_2[variable0]",""
"broken","Wed Sep 16 11:46:12 CST 2020","Wed Sep 16 11:46:12 CST 2020","493","interface.sparePartOutBound_test","test_deleteSparePartOutbounds","TestDeleteSparePartOutbounds","","","test_1",""
"passed","Wed Sep 16 11:55:32 CST 2020","Wed Sep 16 11:55:57 CST 2020","25480","interface.workFlow_test","test_thingRepairFlow","TestThingRepairWorkFlow","","","test_6",""
"passed","Wed Sep 16 16:10:46 CST 2020","Wed Sep 16 16:10:56 CST 2020","9450","interface.workFlow_test","test_thingInspectionFlow","TestThingInspectionWorkFlow","","","test_6[update]",""
"passed","Wed Sep 16 11:45:54 CST 2020","Wed Sep 16 11:45:54 CST 2020","330","interface.employee_test","test_createEmployee","TestCreateEmployee","","","test_1[variable0]",""
"passed","Wed Sep 16 11:55:06 CST 2020","Wed Sep 16 11:55:15 CST 2020","8821","interface.workFlow_test","test_thingRepairFlow","TestThingRepairWorkFlow","","","test_4",""
"passed","Wed Sep 16 16:10:36 CST 2020","Wed Sep 16 16:10:39 CST 2020","3990","interface.workFlow_test","test_thingInspectionFlow","TestThingInspectionWorkFlow","","","test_4[audit_feed_reject]",""
"failed","Wed Sep 16 11:46:20 CST 2020","Wed Sep 16 11:46:22 CST 2020","1414","interface.sparePartOutBound_test","test_updateSparePartOutbound","TestUpdateSparePartOutbound","","","test_1[variable0]",""
"passed","Wed Sep 16 11:57:12 CST 2020","Wed Sep 16 11:57:24 CST 2020","11851","interface.workFlow_test","test_thingRepairFlow","TestThingRepairWorkFlow","","","test_9[re_submit]",""
"passed","Wed Sep 16 11:45:52 CST 2020","Wed Sep 16 11:45:52 CST 2020","110","interface.Role_test","test_createRole","TestCreateRole","","","test_1[variable0]",""
"passed","Wed Sep 16 17:20:24 CST 2020","Wed Sep 16 17:21:44 CST 2020","80675","interface.workFlow_test","test_sparePartOutboundFlow","TestSparePartOutBoundWorkFlow","","","test_1",""
"passed","Wed Sep 16 17:34:50 CST 2020","Wed Sep 16 17:34:50 CST 2020","180","interface.thingInspectionRule_test","test_createThingInspectionRule","TestCreateThingInspectionRule","","","test_1[variable0]",""
"passed","Wed Sep 16 12:02:11 CST 2020","Wed Sep 16 12:02:21 CST 2020","9491","interface.workFlow_test","test_thingRepairFlow","TestThingRepairWorkFlow","","","test_12[audit_pass]",""
"passed","Wed Sep 16 11:49:51 CST 2020","Wed Sep 16 11:50:21 CST 2020","30483","interface.thingMaintenance_test","test_queryThingMaintenances","TestQueryThingMaintenances","","","test_query_thing",""
"passed","Wed Sep 16 11:46:07 CST 2020","Wed Sep 16 11:46:07 CST 2020","3","interface.file_test","test_uploadFile","TestUploadFile","","","test_import_right[upload_file6]",""
"passed","Wed Sep 16 11:53:52 CST 2020","Wed Sep 16 11:54:14 CST 2020","21769","interface.workFlow_test","test_thingRepairFlow","TestThingRepairWorkFlow","","","test_1",""
"passed","Wed Sep 16 11:46:02 CST 2020","Wed Sep 16 11:46:02 CST 2020","3","interface.file_test","test_uploadFile","TestUploadFile","","","test_add_right[upload_file4]",""
"passed","Wed Sep 16 11:48:55 CST 2020","Wed Sep 16 11:48:56 CST 2020","679","interface.thingMaintenanceRule_test","test_exportThingMaintenanceRules","TestQueryExportThingMaintenanceRules","","","test",""
